make,model,fuel,gear,hp,year
Mercedes-Benz,GLS 500,Gasoline,Automatic,455.0,2019
Maserati,GranTurismo,Gasoline,Automatic,460.0,2016
Renault,Express,Gasoline,Manual,101.0,2021
Chrysler,Grand Voyager,Gasoline,Automatic,287.0,2013
Volkswagen,Cross Golf,Gasoline,Manual,160.0,2014
Mercedes-Benz,SLC 200,Gasoline,Automatic,184.0,2017
Lancia,Voyager,Diesel,Automatic,178.0,2013
DS,Automobiles DS 4,Gasoline,Manual,120.0,2012
Lancia,Thema,Gasoline,Automatic,286.0,2012
Toyota,Urban Cruiser,Diesel,Manual,90.0,2011
Maserati,Quattroporte,Gasoline,Automatic,581.0,2021
Alfa,Romeo 4C,Gasoline,Automatic,241.0,2018
Fiat,500e,Electric,Automatic,117.0,2021
Citroen,C15,Gasoline,Manual,69.0,2018
Nissan,Evalia,Diesel,Manual,90.0,2015
Hyundai,Bayon,Gasoline,Manual,101.0,2021
Volkswagen,Golf GTE,Gasoline,Automatic,204.0,2017
MINI,John Cooper Works Coupe,Gasoline,Manual,211.0,2012
McLaren,GT,Gasoline,Automatic,620.0,2019
Zhidou,D2S,Electric,Automatic,24.0,2019
Mercedes-Benz,Marco Polo,Diesel,Automatic,163.0,2018
Mercedes-Benz,A 35 AMG,Gasoline,Automatic,306.0,2019
Morgan,3-Wheeler,Gasoline,Manual,68.0,2019
MINI,Cooper Paceman,Gasoline,Manual,122.0,2014
Mercedes-Benz,S 650,Gasoline,Automatic,630.0,2019
Peugeot,301,Gasoline,Manual,82.0,2018
Nissan,370Z,Gasoline,Automatic,328.0,2018
Volkswagen,T6.1 Multivan,Diesel,Automatic,150.0,2020
Volvo,C70,Diesel,Manual,177.0,2011
Mercedes-Benz,GLE 43 AMG,Gasoline,Automatic,390.0,2017
MINI,Cooper D Paceman,Diesel,Automatic,111.0,2013
Volkswagen,T4 Allstar,Gasoline,Manual,75.0,2017
SsangYong,MUSSO,Diesel,Manual,181.0,2020
MINI,Cooper SD Paceman,Diesel,Automatic,143.0,2014
Abarth,Punto EVO,Gasoline,Manual,163.0,2012
Lada,Vesta,Gasoline,Manual,102.0,2019
MINI,Cooper S Roadster,Gasoline,Manual,184.0,2012
Volkswagen,T5 Shuttle,Diesel,Manual,140.0,2013
Mercedes-Benz,GLB 250,Gasoline,Automatic,224.0,2020
Lexus,GS 250,Gasoline,Automatic,209.0,2012
Maybach,Pullman,Gasoline,Automatic,530.0,2018
BMW,Z4 M,Gasoline,Manual,197.0,2020
Lada,Priora,Gasoline,Manual,98.0,2011
Mercedes-Benz,GLK 200,Diesel,Manual,143.0,2013
Lexus,IS 300,Electric/Gasoline,Automatic,181.0,2013
Citroen,C6,Diesel,Automatic,241.0,2012
Mercedes-Benz,CLS 500,Gasoline,Automatic,408.0,2012
Ferrari,812,Gasoline,Automatic,799.0,2021
Ferrari,FF,Gasoline,Automatic,659.0,2013
Chrysler,300C,Diesel,Automatic,218.0,2011
Chrysler,Aspen,Gasoline,Automatic,340.0,2012
Suzuki,Jimny,Gasoline,Manual,86.0,2014
BMW,214,Diesel,Manual,95.0,2015
Mercedes-Benz,G,Diesel,Automatic,204.0,2013
Ferrari,F8 Tributo,Gasoline,Automatic,721.0,2021
BMW,X7 M,Diesel,Automatic,400.0,2020
BMW,M5,Gasoline,Automatic,560.0,2012
Mercedes-Benz,CL 500,Gasoline,Automatic,435.0,2012
Peugeot,407,Diesel,Manual,109.0,2011
Alfa,Romeo Sportwagon,Diesel,Manual,170.0,2011
DS,Automobiles DS 3,Gasoline,Manual,82.0,2016
Brilliance,BS4,LPG,Manual,101.0,2011
Toyota,GT86,Gasoline,Manual,280.0,2015
Dodge,Grand Caravan,Gasoline,Automatic,287.0,2015
Mercedes-Benz,CLS 63 AMG,Gasoline,Automatic,557.0,2011
Lexus,LS 600,Electric/Gasoline,Automatic,445.0,2013
MINI,Cooper SD Coupe,Diesel,Manual,143.0,2014
Volvo,S80,Diesel,Automatic,181.0,2015
Mercedes-Benz,300,Electric/Diesel,Automatic,204.0,2012
Jaguar,XKR,Gasoline,Automatic,551.0,2012
BMW,518,Diesel,Automatic,143.0,2014
Ferrari,F12,Gasoline,Automatic,775.0,2017
Honda,Accord,Gasoline,Automatic,156.0,2011
Piaggio,Porter,Gasoline,Manual,71.0,2012
