Unnamed: 0.1,Unnamed: 0,make,model,fuel,gear,hp,year
0,0,BMW,316,Diesel,Manual,116.0,2011
26,26,BMW,118,Diesel,Manual,143.0,2012
29,29,BMW,118,Diesel,Manual,143.0,2012
33,33,BMW,118,Diesel,Manual,143.0,2012
39,39,BMW,320,Diesel,Automatic,184.0,2012
44,44,BMW,520,Diesel,Automatic,184.0,2013
51,51,BMW,114,Gasoline,Manual,102.0,2013
68,68,BMW,116,Gasoline,Manual,136.0,2014
96,96,BMW,316,Diesel,Manual,116.0,2015
151,151,BMW,M2,Gasoline,Automatic,370.0,2018
154,154,BMW,X3,Diesel,Automatic,265.0,2018
158,158,BMW,X2,Diesel,Automatic,190.0,2019
174,174,BMW,320,Diesel,Automatic,190.0,2019
252,253,BMW,320,Diesel,Automatic,184.0,2012
482,486,BMW,320,Diesel,Manual,190.0,2016
487,491,BMW,330,Diesel,Automatic,258.0,2016
492,496,BMW,530,Diesel,Automatic,258.0,2016
495,499,BMW,430,Diesel,Automatic,258.0,2016
497,501,BMW,520,Diesel,Automatic,184.0,2016
498,502,BMW,520,Diesel,Automatic,184.0,2016
499,503,BMW,535,Diesel,Automatic,313.0,2016
523,527,BMW,520,Diesel,Automatic,190.0,2018
726,731,BMW,218,Gasoline,Automatic,136.0,2018
814,819,BMW,320,Gasoline,Manual,170.0,2011
874,880,BMW,116,Gasoline,Manual,136.0,2014
892,898,BMW,220,Diesel,Automatic,190.0,2015
1135,1141,BMW,i3,Electric/Gasoline,Automatic,170.0,2017
1136,1142,BMW,330,Gasoline,Manual,252.0,2017
1140,1146,BMW,520,Diesel,Automatic,190.0,2017
1142,1148,BMW,335,Diesel,Automatic,313.0,2017
1144,1150,BMW,320,Gasoline,Automatic,184.0,2017
1145,1151,BMW,520,Diesel,Manual,190.0,2017
1146,1152,BMW,330,Electric/Gasoline,Automatic,252.0,2017
1147,1153,BMW,330,Gasoline,Automatic,252.0,2017
1152,1158,BMW,220,Diesel,Automatic,190.0,2017
1158,1164,BMW,320,Diesel,Automatic,190.0,2018
1159,1165,BMW,318,Diesel,Automatic,150.0,2018
1180,1186,BMW,218,Gasoline,Automatic,140.0,2019
1185,1191,BMW,218,Diesel,Automatic,150.0,2019
1186,1192,BMW,i3,Electric,Automatic,170.0,2019
1202,1208,BMW,X1,Diesel,Automatic,231.0,2021
1234,1240,BMW,116,Gasoline,Manual,122.0,2011
1245,1251,BMW,316,Diesel,Manual,116.0,2012
1254,1260,BMW,118,Diesel,Manual,143.0,2012
1583,1590,BMW,X6,Diesel,Automatic,313.0,2018
1584,1591,BMW,730,Diesel,Automatic,265.0,2018
1587,1594,BMW,550,Gasoline,Automatic,462.0,2018
1589,1596,BMW,650,Gasoline,Automatic,449.0,2018
1595,1602,BMW,520,Diesel,Automatic,190.0,2019
1597,1604,BMW,320,Gasoline,Automatic,184.0,2019
1598,1605,BMW,320,Gasoline,Automatic,184.0,2019
1599,1606,BMW,320,Gasoline,Automatic,184.0,2019
1602,1609,BMW,320,Diesel,Automatic,190.0,2019
1607,1614,BMW,525,Diesel,Automatic,231.0,2019
1619,1626,BMW,320,Gasoline,Automatic,184.0,2020
1624,1631,BMW,430,Gasoline,Automatic,252.0,2020
1651,1658,BMW,116,Diesel,Manual,116.0,2011
1652,1659,BMW,118,Gasoline,Manual,143.0,2011
1660,1667,BMW,118,Gasoline,Manual,143.0,2011
1664,1671,BMW,X1,Diesel,Automatic,143.0,2011
1667,1674,BMW,318,Diesel,Automatic,143.0,2013
1668,1675,BMW,116,Diesel,Manual,116.0,2013
1672,1679,BMW,114,Gasoline,Manual,102.0,2013
1688,1695,BMW,114,Gasoline,Manual,102.0,2014
1720,1727,BMW,116,Gasoline,Manual,109.0,2015
1848,1855,BMW,318,Gasoline,Manual,143.0,2011
1874,1882,BMW,325,Diesel,Manual,204.0,2012
1881,1889,BMW,116,Gasoline,Manual,136.0,2013
2192,2203,BMW,X6 M,Gasoline,Automatic,575.0,2017
2295,2306,BMW,318,Gasoline,Manual,143.0,2012
2394,2408,BMW,X3,Diesel,Automatic,190.0,2017
2396,2410,BMW,540,Gasoline,Automatic,340.0,2017
2404,2418,BMW,550,Gasoline,Automatic,462.0,2017
2418,2432,BMW,330,Gasoline,Automatic,252.0,2018
2426,2440,BMW,520,Gasoline,Automatic,184.0,2018
2432,2446,BMW,X7 M,Diesel,Automatic,400.0,2019
2447,2461,BMW,116,Gasoline,Manual,109.0,2019
2492,2507,BMW,318,Diesel,Automatic,143.0,2011
2501,2516,BMW,318,Gasoline,Manual,143.0,2011
2508,2523,BMW,320,Diesel,Manual,184.0,2011
2513,2528,BMW,116,Gasoline,Manual,136.0,2012
2517,2532,BMW,116,Gasoline,Manual,136.0,2012
2538,2553,BMW,116,Gasoline,Manual,136.0,2013
2551,2567,BMW,120,Diesel,Manual,184.0,2014
2687,2703,BMW,318,Diesel,Manual,143.0,2011
2716,2732,BMW,114,Gasoline,Manual,102.0,2012
2740,2756,BMW,118,Diesel,Manual,143.0,2013
2804,2821,BMW,420,Gasoline,Manual,184.0,2017
2807,2824,BMW,X3,Gasoline,Automatic,184.0,2017
2808,2825,BMW,530,Diesel,Automatic,265.0,2017
2810,2827,BMW,140,Gasoline,Automatic,340.0,2017
2811,2828,BMW,X1,Diesel,Automatic,231.0,2017
2814,2831,BMW,520,Diesel,Automatic,190.0,2017
2815,2832,BMW,220,Gasoline,Automatic,184.0,2017
2816,2833,BMW,535,Diesel,Automatic,313.0,2017
2817,2834,BMW,X3,Gasoline,Automatic,245.0,2017
2822,2839,BMW,X3,Diesel,Automatic,313.0,2017
2825,2842,BMW,520,Diesel,Automatic,190.0,2018
2826,2844,BMW,X1,Diesel,Manual,150.0,2018
2830,2848,BMW,X1,Gasoline,Automatic,140.0,2018
2833,2851,BMW,120,Gasoline,Automatic,184.0,2018
2834,2852,BMW,i3,Electric/Gasoline,Automatic,170.0,2018
2838,2856,BMW,318,Diesel,Automatic,150.0,2018
2845,2863,BMW,320,Diesel,Automatic,190.0,2019
2855,2873,BMW,320,Diesel,Automatic,190.0,2019
2856,2874,BMW,520,Diesel,Automatic,190.0,2019
2860,2878,BMW,320,Gasoline,Automatic,184.0,2019
2863,2881,BMW,530,Diesel,Automatic,265.0,2020
2865,2883,BMW,530,Diesel,Automatic,265.0,2020
2869,2887,BMW,530,Electric/Gasoline,Automatic,252.0,2020
2870,2888,BMW,335,Diesel,Automatic,313.0,2020
2875,2893,BMW,540,Diesel,Automatic,320.0,2020
2879,2897,BMW,340,Gasoline,Automatic,374.0,2020
2883,2901,BMW,X2,Electric/Gasoline,Automatic,220.0,2021
2884,2902,BMW,330,Electric/Gasoline,Automatic,292.0,2021
2894,2912,BMW,M8,Gasoline,Automatic,625.0,2021
2906,2924,BMW,118,Gasoline,Manual,143.0,2011
2959,2977,BMW,318,Diesel,Manual,143.0,2013
3118,3137,BMW,318,Diesel,Manual,143.0,2011
3127,3146,BMW,116,Gasoline,Manual,122.0,2011
3151,3170,BMW,320,Diesel,Automatic,184.0,2012
3185,3204,BMW,116,Diesel,Manual,116.0,2014
3276,3296,BMW,116,Diesel,Manual,116.0,2018
3280,3300,BMW,530,Diesel,Automatic,265.0,2019
3290,3310,BMW,X3,Diesel,Automatic,190.0,2019
3293,3313,BMW,X3,Diesel,Automatic,265.0,2019
3299,3319,BMW,520,Gasoline,Automatic,184.0,2020
3313,3333,BMW,520,Diesel,Automatic,190.0,2020
3335,3355,BMW,116,Gasoline,Manual,122.0,2011
3340,3360,BMW,116,Gasoline,Manual,136.0,2011
3344,3364,BMW,118,Diesel,Manual,143.0,2011
3348,3368,BMW,116,Gasoline,Manual,136.0,2011
3351,3371,BMW,520,Diesel,Automatic,184.0,2011
3360,3380,BMW,320,Gasoline,Manual,170.0,2012
3374,3394,BMW,120,Diesel,Automatic,184.0,2013
3375,3395,BMW,114,Gasoline,Manual,102.0,2013
3379,3399,BMW,X1,Diesel,Manual,116.0,2013
3380,3400,BMW,116,Gasoline,Manual,136.0,2013
3412,3432,BMW,116,Diesel,Manual,116.0,2014
3416,3436,BMW,218,Diesel,Manual,150.0,2015
3424,3444,BMW,318,Diesel,Manual,143.0,2015
3443,3463,BMW,216,Diesel,Manual,116.0,2016
3473,3493,BMW,X1,Gasoline,Automatic,140.0,2018
3474,3494,BMW,530,Diesel,Automatic,265.0,2018
3475,3495,BMW,430,Gasoline,Automatic,252.0,2018
3477,3497,BMW,420,Diesel,Automatic,190.0,2018
3505,3526,BMW,X2 M,Gasoline,Automatic,306.0,2019
3566,3587,BMW,520,Diesel,Manual,184.0,2011
3593,3614,BMW,114,Diesel,Manual,95.0,2013
3917,3939,BMW,M5,Gasoline,Automatic,625.0,2018
4025,4047,BMW,114,Gasoline,Manual,102.0,2013
4128,4150,BMW,520,Diesel,Automatic,190.0,2018
4129,4151,BMW,520,Diesel,Automatic,190.0,2018
4136,4158,BMW,520,Diesel,Automatic,190.0,2018
4149,4171,BMW,118,Gasoline,Manual,136.0,2019
4153,4175,BMW,218,Gasoline,Automatic,140.0,2019
4159,4181,BMW,420,Gasoline,Automatic,184.0,2019
4160,4182,BMW,418,Gasoline,Automatic,136.0,2019
4162,4184,BMW,X1,Diesel,Manual,150.0,2019
4182,4204,BMW,135,Gasoline,Automatic,306.0,2020
4192,4214,BMW,218,Gasoline,Manual,140.0,2021
4214,4236,BMW,118,Gasoline,Manual,143.0,2011
4243,4265,BMW,X1,Diesel,Manual,143.0,2013
4256,4278,BMW,116,Diesel,Manual,116.0,2013
4266,4288,BMW,316,Gasoline,Manual,136.0,2014
4273,4295,BMW,116,Gasoline,Manual,136.0,2014
4417,4441,BMW,118,Diesel,Manual,143.0,2011
4537,4562,BMW,530,Gasoline,Automatic,252.0,2017
4538,4563,BMW,440,Gasoline,Automatic,326.0,2017
4541,4566,BMW,X3,Diesel,Automatic,258.0,2017
4545,4570,BMW,530,Diesel,Automatic,265.0,2017
4547,4572,BMW,540,Gasoline,Automatic,340.0,2017
4548,4573,BMW,X3,Diesel,Automatic,265.0,2017
4549,4574,BMW,530,Diesel,Automatic,265.0,2017
4550,4575,BMW,240,Gasoline,Automatic,340.0,2017
4555,4580,BMW,540,Gasoline,Automatic,340.0,2017
4556,4581,BMW,420,Diesel,Automatic,190.0,2018
4558,4583,BMW,X1,Gasoline,Automatic,140.0,2018
4561,4586,BMW,X1,Diesel,Automatic,150.0,2018
4562,4587,BMW,320,Diesel,Manual,190.0,2018
4563,4588,BMW,X1,Diesel,Automatic,150.0,2018
4565,4590,BMW,330,Gasoline,Automatic,252.0,2018
4571,4596,BMW,320,Diesel,Automatic,190.0,2018
4576,4601,BMW,320,Gasoline,Automatic,184.0,2019
4584,4609,BMW,X1,Diesel,Automatic,190.0,2019
4588,4613,BMW,X1,Diesel,Automatic,190.0,2019
4589,4614,BMW,320,Diesel,Automatic,190.0,2019
4590,4615,BMW,X1,Gasoline,Automatic,192.0,2019
4592,4617,BMW,320,Diesel,Automatic,190.0,2019
4593,4618,BMW,320,Diesel,Automatic,190.0,2019
4594,4619,BMW,530,Electric/Gasoline,Automatic,184.0,2019
4597,4623,BMW,X5,Diesel,Automatic,265.0,2020
4670,4696,BMW,116,Gasoline,Automatic,136.0,2012
4691,4717,BMW,325,Diesel,Manual,218.0,2014
4699,4725,BMW,318,Diesel,Manual,143.0,2014
4858,4885,BMW,320,Diesel,Manual,163.0,2011
4986,5014,BMW,730,Diesel,Automatic,265.0,2019
5005,5033,BMW,X2,Gasoline,Automatic,306.0,2020
5011,5039,BMW,X3,Diesel,Automatic,190.0,2020
5016,5044,BMW,340,Gasoline,Automatic,374.0,2020
5043,5071,BMW,318,Diesel,Manual,143.0,2011
5045,5073,BMW,325,Gasoline,Automatic,218.0,2011
5054,5082,BMW,320,Diesel,Manual,184.0,2011
5070,5099,BMW,525,Diesel,Automatic,218.0,2012
5072,5101,BMW,X1,Diesel,Manual,143.0,2012
5076,5105,BMW,318,Diesel,Automatic,143.0,2012
5080,5109,BMW,316,Diesel,Automatic,116.0,2013
5095,5124,BMW,318,Diesel,Manual,143.0,2013
