make_numerico,model,fuel,gear,hp,year
10,GLS 500,Gasoline,Automatic,455.0,2019
35,GranTurismo,Gasoline,Automatic,460.0,2016
4,Express,Gasoline,Manual,101.0,2021
45,Grand Voyager,Gasoline,Automatic,287.0,2013
2,Cross Golf,Gasoline,Manual,160.0,2014
10,SLC 200,Gasoline,Automatic,184.0,2017
51,Voyager,Diesel,Automatic,178.0,2013
53,Automobiles DS 4,Gasoline,Manual,120.0,2012
51,Thema,Gasoline,Automatic,286.0,2012
6,Urban Cruiser,Diesel,Manual,90.0,2011
35,Quattroporte,Gasoline,Automatic,581.0,2021
38,Romeo 4C,Gasoline,Automatic,241.0,2018
13,500e,Electric,Automatic,117.0,2021
19,C15,Gasoline,Manual,69.0,2018
28,Evalia,Diesel,Manual,90.0,2015
17,Bayon,Gasoline,Manual,101.0,2021
2,Golf GTE,Gasoline,Automatic,204.0,2017
16,John Cooper Works Coupe,Gasoline,Manual,211.0,2012
47,GT,Gasoline,Automatic,620.0,2019
60,D2S,Electric,Automatic,24.0,2019
10,Marco Polo,Diesel,Automatic,163.0,2018
10,A 35 AMG,Gasoline,Automatic,306.0,2019
61,3-Wheeler,Gasoline,Manual,68.0,2019
16,Cooper Paceman,Gasoline,Manual,122.0,2014
10,S 650,Gasoline,Automatic,630.0,2019
5,301,Gasoline,Manual,82.0,2018
28,370Z,Gasoline,Automatic,328.0,2018
2,T6.1 Multivan,Diesel,Automatic,150.0,2020
25,C70,Diesel,Manual,177.0,2011
10,GLE 43 AMG,Gasoline,Automatic,390.0,2017
16,Cooper D Paceman,Diesel,Automatic,111.0,2013
2,T4 Allstar,Gasoline,Manual,75.0,2017
22,MUSSO,Diesel,Manual,181.0,2020
16,Cooper SD Paceman,Diesel,Automatic,143.0,2014
52,Punto EVO,Gasoline,Manual,163.0,2012
30,Vesta,Gasoline,Manual,102.0,2019
16,Cooper S Roadster,Gasoline,Manual,184.0,2012
2,T5 Shuttle,Diesel,Manual,140.0,2013
10,GLB 250,Gasoline,Automatic,224.0,2020
33,GS 250,Gasoline,Automatic,209.0,2012
62,Pullman,Gasoline,Automatic,530.0,2018
1,Z4 M,Gasoline,Manual,197.0,2020
30,Priora,Gasoline,Manual,98.0,2011
10,GLK 200,Diesel,Manual,143.0,2013
33,IS 300,Electric/Gasoline,Automatic,181.0,2013
19,C6,Diesel,Automatic,241.0,2012
10,CLS 500,Gasoline,Automatic,408.0,2012
56,812,Gasoline,Automatic,799.0,2021
56,FF,Gasoline,Automatic,659.0,2013
45,300C,Diesel,Automatic,218.0,2011
45,Aspen,Gasoline,Automatic,340.0,2012
21,Jimny,Gasoline,Manual,86.0,2014
1,214,Diesel,Manual,95.0,2015
10,G,Diesel,Automatic,204.0,2013
56,F8 Tributo,Gasoline,Automatic,721.0,2021
1,X7 M,Diesel,Automatic,400.0,2020
1,M5,Gasoline,Automatic,560.0,2012
10,CL 500,Gasoline,Automatic,435.0,2012
5,407,Diesel,Manual,109.0,2011
38,Romeo Sportwagon,Diesel,Manual,170.0,2011
53,Automobiles DS 3,Gasoline,Manual,82.0,2016
70,BS4,LPG,Manual,101.0,2011
